id,Title,Content,Date,Permalink,Categories,Tags
8938,Building a Data Culture,"<a href=""http://ericbrown.com/wp-content/uploads/2014/11/virt_1_346x214.jpg""><img class=""alignleft size-medium wp-image-8939"" src=""http://ericbrown.com/wp-content/uploads/2014/11/virt_1_346x214-300x185.jpg"" alt=""virt_1_346x214"" width=""300"" height=""185"" /></a>Many companies want to ‘do’ big data today. They’re spending money on systems, software, consulting, training and other services to be able to capture, process, analyze and use data. Those are all things that need to be done to be up their data science capabilities and skills. Companies need the right platforms, the right systems, the right people and skills to be able to properly analyze and use their data.

There’s one area that many organizations fail to address when building up their data analytics programs and skills. That area involves the corporate culture. Specifically, it involves the culture around listening, curiosity, investigation and willingness to try and fail.

Corporate culture can play a huge role in the success or failure of data analytics programs. If your company’s culture doesn’t like hearing new data that may provide conflicting information, your big data initiatives may be set up for failure from the very beginning.

In my experiences, the ability to listen and act on new data is one of the most important aspects of corporate culture that leads to success with data analytics and big data. If you don’t have a corporate culture and leadership team willing to listen to new information. For example, if your CEO doesn’t listen to data or arguments that go against her beliefs, you may be in for a very difficult time if your data analysis shows a reality different than the one that she expects or wants.

While listening and accepting competing arguments and data is the top cultural issue that can make or break big data, the other cultural aspects are important as well. For example, if the people who are working with your data aren’t curious about the data and willing to spend plenty of time investigating that data then you may be wasting money giving those people the proper skills to become a data scientist. You may be training them to act as your data scientists, but if they aren’t interested in finding out more about your data and investigation new avenues of analysis, you may not get the move value from them or your big data initiatives.

Lastly, your corporate culture should be willing to accept failure. Now, I’m not saying you should embrace or excuse failure, but many times in the data analysis world you end up finding analyses that don’t match with your expectations. Much of the time spent by data scientists is spent in small analysis projects looking for new ways to look at data. Many of these small projects end in failure with nothing of measurable value to show for the time spent on that project. Even though it may seem like wasted time, these types of projects are what make great data scientists as it allows them to continuously improve on their skills.

Successfully implementing big data initiatives is much more than just buying some software or systems. Successful big data initiatives require <a href=""http://www.allanalytics.com/video.asp?section_id=1860&amp;doc_id=272877"">working on soft skills as well as organizational culture</a> to ensure that the big data mindset is ingrained throughout the organization.

<em>This post is brought to you by SAS.</em>",20141118,http://ericbrown.com/building-data-culture.htm,Big Data|People,Big Data|culture
8943,"Note to Self - Don't say ""Data Driven"" Anymore","<a href=""http://ericbrown.com/wp-content/uploads/2014/11/data.jpeg""><img class=""alignleft size-medium wp-image-8944"" src=""http://ericbrown.com/wp-content/uploads/2014/11/data-300x199.jpeg"" alt=""data"" width=""300"" height=""199"" /></a>Jim Harris just wrote a nice piece titled ""<a title=""It’s Not about being Data-Driven"" href=""http://www.ocdqblog.com/home/its-not-about-being-data-driven"" target=""_blank"">It's not about being Data Driven</a>"" over on his wonderful Obsessive-Compulsive Data Quality Blog.  If you don't have Jim's blog on your radar, you should...he does great work over there.

In this recent post, Jim writes about the difference between being 'data-driven' and using data to make better decisions.  Jim writes:
<blockquote>In the era of big data, it’s not about being data-driven—because your organization has always been data-driven. It’s about what data your organization is being driven by—and whether that data is driving your organization to make better decisions.</blockquote>
I've been guilty of writing about companies needing to be 'data-driven' without making the very important distinction that Jim points out there. Success doesn't come about because a company is data-driven...success comes from what a company does with their data and how they use that data to inform their decisions.

Jim is correct that many companies have been 'data-driven' for years. Most businesses would argue that they've been data-driven since inception. Most managers love to look at data to help them make decisions but I'd argue that many managers have historically looked at data in the wrong way. They looked at data as their 'truth' of how their team was doing. They looked at their data as a way to understand how their business was doing.   Many managers even look at their data as a way to improve their businesses.

The push for 'being data-driven' today can often make many of these managers angry, and rightfully so.  These managers aren't idiots...they know data is important. They've always used data.

So...let's stop imploring these managers and companies to be data-driven and start asking them to look at the data they're using. Are they using all the data available to them? Is the quality of their data at question? Can they point to a full lifecycle of data management for their data? Can they ensure security, quality and governance of that data?

If they can't answer these types of questions in a positive manner, its time for them to visit their data management and data quality processes and systems. Perhaps they've always been a data-driven company but they may have been using bad data or maybe they've just been using the wrong data.

Once an organization's data quality and management practices are understood and new processes/systems implemented (if needed), the next question has to be about how that company uses their data. Do they use it to make decisions? Do they dive deep into the data to look for new ideas and problems to solve? Or do they just use that data as a way to point to how 'great' their business is?

There's different ways of being data-driven, but like Jim said...the only way to be successful at using data is to use it to make better decisions.  Your organization can be data-driven and still be very unsuccessful. Find the data and data systems that work for your business and use them to make great decisions to make your company better.",20141120,http://ericbrown.com/dont-say-data-driven-anymore.htm,Big Data|Leadership,Big Data|data-driven|Knowledge Management|Organization
8948,Foto Friday - Titmouse on the Feeder,"I captured this Titmouse on the backporch feeder last week. Captured with a Canon 7D Mark II and Canon 400mm 5.6 L handheld @ 2000 ISO.

[phototext]

<a href=""http://ericbrown.com/wp-content/uploads/2014/11/J9A0092-Edit.jpg""><img class=""aligncenter size-large wp-image-8949"" src=""http://ericbrown.com/wp-content/uploads/2014/11/J9A0092-Edit-1024x736.jpg"" alt=""Titmouse on the Feeder"" width=""660"" height=""474"" /></a>",20141121,http://ericbrown.com/foto-friday-titmouse-feeder.htm,Foto Friday,Photography
8952,The Cloud - Gateway to Enterprise Mobility,"<em>This post is brought to you by the</em> <a href=""http://bit.ly/1ByYPYr""><em>Enterprise CIO Forum</em></a><em> and HP’s</em> <a href=""http://bit.ly/10l0SE2""><em>Make It Matter</em></a><em>.</em>

<a href=""http://ericbrown.com/wp-content/uploads/2014/11/cloud-diagram.jpg""><img class=""alignleft size-medium wp-image-8955"" src=""http://ericbrown.com/wp-content/uploads/2014/11/cloud-diagram-300x236.jpg"" alt=""cloud-diagram"" width=""300"" height=""236"" /></a>Can you remember what it was like to do your job ten years ago? For the most part, you were stuck to your desk and most likely using your large desktop computer with a very large CRT monitor. If you were lucky, you might have received a laptop that let you move around the office and/or travel for business and drag along your lightweight laptop. Of course, these lightweight laptops weren’t really that lightweight but they did let you know work away from the office whenever you needed to. Lastly, those that were really lucky might have a blackberry device to keep on top of their email.

The world of mobile ten years ago was one that was mobile, but wasn’t. Sure you could get away from your desk but you weren’t always able to do everything you needed to.   The security issues that existed were fairly minor. Companies setup virtual private networks (VPN’s) to allow access to the company systems from outside the firewall. Access via blackberry devices were fairly secure and straightforward. Access other than VPN or blackberry was generally unavailable outside the office. There was rarely thought given to other mobile devices other mobile access and very rarely the capability for employees to bring their own devices into the corporate environment and network.

Today, mobility is much different in most organizations. Laptops are more than ubiquitous and people are regularly working from inside and outside the organization’s firewall. In addition to laptops, tablets and smartphones are almost as ubiquitous throughout organizations today with many being personal devices brought into the organization from employees.

IT operations and security have their hands full with the various mobile devices and mobility requirements placed upon them by the wants and needs of the organization. Many organizations have mobility solutions and systems on their ‘to do’ list to ensure mobility is implemented in a way that allows the organization to meet their goals and objectives.

According to a <a href=""http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=4AA4-7393ENW&amp;cc=us&amp;lc=en"">recent report by IDG Research</a>, 54% of organizations have a mobility strategy and have begun some form of implementation while 38% of companies are currently formulating a mobility strategy. Those are fairly good numbers that show most companies have identified mobility as a key issue for the future and are trying to address it head on. While these companies seem to have a strategy and implementation plans, both need to be flexible during and after implementation to incorporate new technologies and systems.

One of the main focus points for mobility strategies for organizations should be the cloud. The cloud is a game-changer when it comes to mobility strategy and implementations. The cloud can help off-load already over-burned data centers and IT systems as well as helping to make the bring-your-own-device (BYOD) paradigm a reality with very little overhead within the organization.

Enterprise mobility is a necessity for organizations today, tomorrow and into the future. Using the cloud to help facilitate mobility is a no-brainer today as it allows for mobility to exist from the very beginning of the system lifecycle.   With proper planning, the cloud can bring the ultimate mobility to an organization while still provide great data security and data access from anywhere in the world.

How well is your organization planning for mobility within your enterprise?

<em>This post is brought to you by the</em> <a href=""http://bit.ly/1ByYPYr""><em>Enterprise CIO Forum</em></a><em> and HP’s</em> <a href=""http://bit.ly/10l0SE2""><em>Make It Matter</em></a><em>.</em>

&nbsp;",20141121,http://ericbrown.com/cloud-gateway-enterprise-mobility.htm,Information Technology|Strategy|Technology|The New CIO,cloud|mobility
8957,The Agile Data Center,"<a href=""http://ericbrown.com/wp-content/uploads/2014/11/Server-Room-726x400.jpg""><img class=""alignleft size-medium wp-image-8959"" src=""http://ericbrown.com/wp-content/uploads/2014/11/Server-Room-726x400-300x165.jpg"" alt=""Server-Room-726x400"" width=""300"" height=""165"" /></a>I participated in the <a title=""Data Center Twitter Chat"" href=""https://twitter.com/search?q=%23datactrchat"" target=""_blank"">#DataCtrChat</a> Twitter chat last week to join in on the conversation about the Agile Data Center. If you haven’t joined in on a Twitter chat recently, you should. The #DataCtrChat is a great one to be a part of, especially if you’re interested in the data center.

One of the questions in last week’s chat was a simple one, but one that has a complex answer. The question was:
<blockquote><em>What differentiates an Agile Data Center from a traditional data center?</em></blockquote>
That is an easy question to ask but is a very difficult one to answer. The answer really depends on how each organization views and uses their data center, but I’m going to try to develop an answer in this post.

Every company has a different view about their data center. Some organizations may outsource their entire data center, others may have some cloud presence combined with an on-premises data center while others may have a completely on-premises data center.

Because each organization has a different definition for their data center, it’s difficult to provide a one-size-fits-all answer to the differences between an agile data center and a traditional data center.

That said, we can easily talk about the concept of ‘agility’ within a data center. Regardless of how a company views and uses their data center, there is always room for an agile mindset within the data center.

Thinking about agility within the data center opens up many new avenues for companies to explore. With agility in the forefront of data center planning combined with proper planning around security and operations, organizations can begin to think about utilizing their data center in new and innovative ways. With an agile mindset, the concept of the data center moves away from being a liability that continuously consumes resources to being an efficient and effective way to deliver services to internal and external clients.

With all of this in mind, we can now take a stab at making a generalized answer to the question posed previously. The difference between an “Agile” data center and the “traditional” data center can be summed up with the following sentence:
<blockquote><em>An Agile Data Center is one that allows organizations to efficiently and effectively add, remove and change services at the speed of the business, not the speed of technology.</em></blockquote>
In the ‘old’ days of the data center, if the business needed more processing power, someone in IT would need to find an underutilized server and then add that server to whatever platform was needed. In recent years, virtualization could have been used to build a new virtual machine to be provide the processing power needed.

Before virtualization, finding and operationalizing the necessary processor power could take days, weeks or even months. With virtualization, it usually takes much less time to get systems up and running but there are still delays in most organizations.

With the agile mindset and proper planning and system implementation, organizations can go from delays of days to delays of minutes. Using cloud systems and automation, that request for more processing power could take a few minutes rather than a few days. That’s the power of the agile mindset when it comes to the data center.

Agility doesn’t necessarily mean new systems nor does it mean moving your data center to the cloud. It <strong><em>does</em></strong> mean thinking about your data center and your data center capabilities in new ways and then putting in new processes (and perhaps, new systems) to make the data center flexible and agile.

<em>This post is brought to you by <a href=""http://bit.ly/1riFmXb"" target=""_blank"">Symantec</a> and <a href=""http://bit.ly/1yDa8OZ"" target=""_blank"">The Transition To The Agile Data Center</a>.</em>",20141124,http://ericbrown.com/agile-data-center.htm,Data Center|Information Technology|The New CIO,Agility|Data center|flexibility
8965,When life gives you a little fog...,"It's been a bit quiet around here the past week. I've been doing some traveling over the holidays and enjoying some time with my wife and our cameras.

This morning, we went out to one of the best locations in the area for bird watching and photography. We were pretty sure we wouldn't see much nor get any good photographs due to the very thick fog that had rolled in overnight. Rather than give up and go back once we saw how bad the fog really was, we decided to get out and walk around a bit and just give it a shot...maybe we'd be able to find something good in the fog.

I'm glad we decided to give it a shot...we saw quite a few Herons, Egrets, Pelicans and other shorebirds.  While the fog kept us from getting those 'textbook perfect' shots, I think I was able to grab a few great ones. Here's a few shots from this morning. Enjoy.

This post is just a friendly reminder that you don't always get the perfect weather but you can still make good things happen with whatever weather you have.

<a href=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7779-Edit-Edit.jpg""><img class=""aligncenter size-large wp-image-8966"" src=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7779-Edit-Edit-1024x708.jpg"" alt=""_J9A7779-Edit-Edit"" width=""660"" height=""456"" /></a>

<a href=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7722.jpg""><img class=""aligncenter size-large wp-image-8968"" src=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7722-1024x692.jpg"" alt=""_J9A7722"" width=""660"" height=""446"" /></a>",20141203,http://ericbrown.com/life-gives-little-fog.htm,Photography,Photography
8973,Foto Friday - Sunrise on Isle of Palms,"I captured this sunrise on the Isle of Palms while on vacation.  Captured with Canon 7D Mark II with Canon 17-40 L handheld.

Want a copy of this image? <a title=""Buy a copy at Zenfolio"" href=""http://photos.ericbrown.com/p924777022/h1a01cca6#h1a01cca6"" target=""_blank"">You can buy one at my Zenfolio store.</a>

[phototext]

<a href=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7635-Edit.jpg""><img class=""aligncenter size-large wp-image-8974"" src=""http://ericbrown.com/wp-content/uploads/2014/12/J9A7635-Edit-1024x702.jpg"" alt=""Sunrise over Isle of Palms"" width=""660"" height=""452"" /></a>",20141205,http://ericbrown.com/foto-friday-sunrise-isle-palms.htm,Foto Friday,Photography
8979,Dissertation Defense Slides on Slideshare,"Just sharing this with my readers...

I have uploaded my Dissertation Defense slides on Slideshare. If you don't recall, the title of my dissertation is: ""Analysis of Twitter Messages for Sentiment and Insight for use in Stock Market Decision Making.""

You can view the slides below or <a href=""http://www.slideshare.net/ericbrown/these-slides-cover-the-final-defense-presentation-for-my-doctorate-degree-the-topic-analysis-of-twitter-messages-for-sentiment-and-insight-for-use-in-stock-market-decision-making"" target=""_blank"">go over to slideshare to view them there</a>.

[slideshare id=42427163&amp;doc=ericdbrowndefenseslides-141206130137-conversion-gate01]",20141206,http://ericbrown.com/dissertation-defense-slides-slideshare.htm,Doctorate,Dissertation|Doctorate
8985,Are you avoiding risk or managing risk?,"<a href=""http://ericbrown.com/wp-content/uploads/2014/12/avoid_risk_from_ITAD.jpg""><img class=""alignleft size-medium wp-image-8990"" src=""http://ericbrown.com/wp-content/uploads/2014/12/avoid_risk_from_ITAD-300x225.jpg"" alt=""avoid_risk_from_ITAD"" width=""300"" height=""225"" /></a>I just read a great article over on the Mckinsey &amp; Company blog titled ""<a title=""Building a bridge from CMO to CIO"" href=""http://mckinseyonmarketingandsales.com/matt-jauchius-building-a-bridge-from-cmo-to-cio"" target=""_blank"">Building a bridge from CMO to CIO</a>"" where Matt Jauchius, EVP and CMO of Nationwide, describes his approach to working with the CIO of the company.    I encourage you to jump over there and read the article...there's some great advice to help the CMO and CIO work together.

There was a line in that article that really caught my eye. The quote from the article is provided below:
<blockquote>As CIO, you want a CMO to be safe and avoid obvious risk. Marketing has a cultural need to be innovative.</blockquote>
Now, there's something to be said for avoiding obvious risk. You don't want to rush off into the world and take on every risk that comes along but you also don't want to avoid any risk altogether. Part of being in any leadership role is to decide on what risks are worth taking and then determining how to manage those risks.

There's a considerable different between avoiding risk and managing risk.  When  you avoid risk, you put yourself and your company at a disadvantage.  As a CIO (or CMO) you should never want to avoid risk at all...your goal should be to identify and manage the risks that are necessary to ensure your organization meets its goals.

Back to that quote from the McKinsey article regarding CIO's wanting CMO's to be ""safe and avoid obvious risk"".  While I understand and can somewhat agree with the spirit behind the statement, I can't agree with the statement itself.    If I were a CIO, I'd want the CMO (or any other colleague) to identify and manage risk, not avoid it. In fact, if risks are 'obvious' there's generally a way to manage those risks. It's usually the non-obvious risks that really cause the most trouble for an organization.

Rather than avoiding risks, the job of a leader should be managing risk and mitigating risk. Every activity undertaken by an organization has some risk involved with it. Software development has risk.  Outsourcing has risk. Using cloud services has risk.  The difference in whether any project is a success or failure lay partly in how risks are managed and mitigated.

I have to ask you...are you managing risk or avoiding risk?",20141208,http://ericbrown.com/are-you-avoiding-risk-or-managing-risk.htm,Leadership|The New CIO,CIO|CMO|Leadership|Management
9001,The Sidelined CIO,"<a href=""http://ericbrown.com/wp-content/uploads/2014/12/soc14-info-ss3-100526352-gallery.idge_.jpg""><img class=""alignleft size-medium wp-image-9003"" src=""http://ericbrown.com/wp-content/uploads/2014/12/soc14-info-ss3-100526352-gallery.idge_-300x225.jpg"" alt=""soc14-info-ss3-100526352-gallery.idge"" width=""300"" height=""225"" /></a>The <a href=""http://www.cio.com/article/2380234/cio-role/state-of-the-cio-2014-the-great-schism.html"">2014 CIO State of the CIO Survey</a> has some interesting data related to the role of the CIO. One of the interesting pieces of that survey relates to the idea that CIO’s are feeling as though they are being pushed aside. <a href=""http://epictechpage.com/sms/symantec/blog/2014/10/11/sidelined-cio/"">Nearly 30 percent of CIO’s reportedly feel</a> ‘sidelined in their businesses as they watch shadow IT increase.’

My instinct tells me that many of those 30 percent of CIO’s are struggling today because they haven’t taken the step forward to drive innovation within the organization, embrace new systems and help their organization’s drive new technology adoption to allow for flexible and agile service delivery for internal and external clients.

In most cases, if your role and your organization isn’t seen as one that delivers innovative ideas, the organization will find a way to work around you. That’s what is happening with many of these CIO’s who feel sidelined. These CIO’s have stayed in the ‘old world’ of IT where no technology project was initiated without their approval. These CIO’s are seeing themselves sidelined today because they are still waiting to be asked to ‘help’ when, in fact, most parts of the business can turn up new systems and services at the push of a button with Software-as-a-Service (SaaS) or Platform-as-a-Service (PaaS) providers.

Being sidelined is no fun, regardless of what role you currently hold but being sidelined as a CIO must be extremely frustrating. There’s a secret that most of these sidelined CIO’s don’t know though. That secret has to do with leadership from the CIO.

Martha Heller, author of the <a href=""http://www.hellersearch.com/the-cio-paradox/"">CIO Paradox</a>, describes it perfectly when <a href=""https://hbr.org/2013/07/cios-must-lead-outside-of-it/"">she writes that the CIO needs to lead inside and outside the IT organization</a>. The organization <strong><em>wants</em></strong> the CIO to lead innovation via technology and systems. The organization <strong><em>wants</em></strong> the CIO and IT group to be at the leading edge of everything that touches technology. The organization wants the CIO and IT group to take the lead.

The only person really keeping the CIO sidelined is the CIO themselves. They are also the only person that can get themselves off the sideline and back into the game. The CIO needs to take the lead in all things technology. They need to step in front of every project that touches technology (including shadow IT) and offer their assistance. They shouldn’t try to derail these projects; they should offer any and all help that can be provided from the IT group.

One of the most important ways the CIO can get back in the game is to take a look at their data center(s). The data center is, arguably, one of the largest issues the sidelined CIO can address to provide additional value to the organization, especially if the data center is still being operated using old operational methods and techniques. Working on making the data center more agile, efficient and optimized can help make the CIO and IT group more of a leader in the eyes of the organization.

There’s no reason for a CIO to remain sidelined. <a href=""http://www.cio.com/article/2380234/cio-role/state-of-the-cio-2014-the-great-schism.html"">2014 CIO State of the CIO Survey</a> has a few suggestions for CIO’s who find themselves in this predicament. They are:
<ul>
	<li>Focus on building relationships across the enterprise.</li>
	<li>CIO’s must take a leadership role within the organization and help drive business innovation, strategy and cultivate partnerships.</li>
	<li>Ensure that every project is a business project, not a technology project.</li>
	<li>Force the IT organization to become more focused on the business and the customer. Work with your clients to make sure you are able to help with their problems. Listen to what your internal and external clients are looking for and find ways to deliver on their needs.</li>
	<li>Reimagine and reorganize the IT group to ensure agility and flexibility to deliver at the speed of business, not the speed of technology.</li>
	<li>Take a look at your data center to make sure you are able to deliver new services quickly and efficiently. Investigate the use of cloud, converged infrastructure and mobility solutions to ensure that you’ll be able to deliver the services the organization needs today and tomorrow.</li>
</ul>
Being sidelined can be a difficult thing for a CIO (or any leader), but there are ways to get off the sideline and back into the game.

<em>This post is brought to you by <a href=""http://bit.ly/1riFmXb"" target=""_blank"">Symantec</a> and <a href=""http://bit.ly/1yDa8OZ"" target=""_blank"">The Transition To The Agile Data Center</a>.</em>",20141209,http://ericbrown.com/sidelined-cio.htm,Leadership|The New CIO,CIO|Leadership|si
